<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMBV4.SA,D,20000113,000000,37.6200,39.6000,37.6200,37.6200,0,0
AMBV4.SA,D,20000114,000000,37.6200,37.6200,37.6200,37.6200,0,0
AMBV4.SA,D,20000117,000000,37.6200,41.5800,37.6200,37.6200,0,0
AMBV4.SA,D,20000118,000000,37.6200,41.5800,37.6200,37.6200,0,0
AMBV4.SA,D,20000119,000000,37.6200,37.6200,37.6200,37.6200,0,0
AMBV4.SA,D,20000120,000000,37.6200,37.6200,37.6200,37.6200,0,0
AMBV4.SA,D,20000121,000000,37.6200,37.6200,37.6200,37.6200,0,0
AMBV4.SA,D,20000124,000000,37.6200,37.6200,37.6200,37.6200,0,0
AMBV4.SA,D,20000125,000000,37.6200,37.6200,37.6200,37.6200,0,0
AMBV4.SA,D,20000126,000000,37.6200,37.6200,37.6200,37.6200,0,0
AMBV4.SA,D,20000127,000000,37.6200,37.6200,37.6200,37.6200,0,0
AMBV4.SA,D,20000128,000000,37.6200,37.6200,37.6200,37.6200,0,0
AMBV4.SA,D,20000131,000000,39.6000,39.6000,39.6000,39.6000,200,0
AMBV4.SA,D,20000201,000000,39.6000,39.6000,39.6000,39.6000,0,0
AMBV4.SA,D,20000202,000000,39.6000,39.6000,39.6000,39.6000,0,0
AMBV4.SA,D,20000203,000000,39.6000,39.6000,39.6000,39.6000,0,0
AMBV4.SA,D,20000204,000000,39.6000,39.6000,39.6000,39.6000,0,0
AMBV4.SA,D,20000207,000000,39.6000,39.6000,39.6000,39.6000,200,0
AMBV4.SA,D,20000208,000000,39.6000,39.6000,39.6000,39.6000,0,0
AMBV4.SA,D,20000209,000000,35.6400,40.0000,35.6400,35.6400,0,0
AMBV4.SA,D,20000210,000000,35.6400,39.6000,35.6400,35.6400,0,0
AMBV4.SA,D,20000211,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000214,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000215,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000216,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000217,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000218,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000221,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000222,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000223,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000224,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000225,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000228,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000229,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000301,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000302,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000303,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000306,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000307,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000308,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000309,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000310,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000313,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000314,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000315,000000,35.6400,35.6400,35.6400,35.6400,0,0
AMBV4.SA,D,20000316,000000,39.6000,39.6000,39.6000,39.6000,200,0
AMBV4.SA,D,20000317,000000,39.6000,39.6000,39.6000,39.6000,0,0
AMBV4.SA,D,20000320,000000,39.6000,39.6000,39.6000,39.6000,0,0
AMBV4.SA,D,20000321,000000,39.6000,39.6000,39.6000,39.6000,0,0
AMBV4.SA,D,20000322,000000,39.6000,39.6000,39.6000,39.6000,0,0
AMBV4.SA,D,20000323,000000,39.6000,39.6000,39.6000,39.6000,1000,0
AMBV4.SA,D,20000324,000000,40.2400,40.4000,40.2400,40.4000,5500,0
AMBV4.SA,D,20000327,000000,41.5800,43.5600,41.5800,41.5800,0,0
AMBV4.SA,D,20000328,000000,41.5800,41.5800,41.5800,41.5800,1200,0
AMBV4.SA,D,20000329,000000,41.5800,41.5800,41.5800,41.5800,0,0
AMBV4.SA,D,20000330,000000,45.5400,48.3200,45.5400,47.5200,163300,0
AMBV4.SA,D,20000331,000000,51.4900,53.8600,51.4800,53.4700,88600,0
AMBV4.SA,D,20000403,000000,55.4500,55.4500,53.4700,53.4700,17100,0
AMBV4.SA,D,20000404,000000,53.4700,53.4700,53.4700,53.4700,700,0
AMBV4.SA,D,20000405,000000,53.4700,53.4700,53.4700,53.4700,12300,0
AMBV4.SA,D,20000406,000000,52.6700,54.4600,52.6700,52.6700,0,0
AMBV4.SA,D,20000407,000000,53.4700,53.4700,53.4700,53.4700,41100,0
AMBV4.SA,D,20000410,000000,53.8600,54.2600,53.8600,53.8600,25500,0
AMBV4.SA,D,20000411,000000,53.4700,54.2600,53.4700,54.2600,17900,0
AMBV4.SA,D,20000412,000000,52.6700,55.0500,52.6700,52.6700,0,0
AMBV4.SA,D,20000413,000000,53.8600,55.0100,53.8600,53.8600,0,0
AMBV4.SA,D,20000414,000000,52.8700,52.8700,52.8700,52.8700,2200,0
AMBV4.SA,D,20000417,000000,52.8700,52.8700,52.8700,52.8700,0,0
AMBV4.SA,D,20000418,000000,52.8700,52.8700,52.8700,52.8700,0,0
AMBV4.SA,D,20000419,000000,52.8700,52.8700,52.8700,52.8700,0,0
AMBV4.SA,D,20000420,000000,52.8700,52.8700,52.8700,52.8700,0,0
AMBV4.SA,D,20000421,000000,52.8700,52.8700,52.8700,52.8700,0,0
AMBV4.SA,D,20000424,000000,52.8700,52.8700,52.8700,52.8700,0,0
AMBV4.SA,D,20000425,000000,52.8700,52.8700,52.8700,52.8700,0,0
AMBV4.SA,D,20000426,000000,52.8700,52.8700,52.8700,52.8700,0,0
AMBV4.SA,D,20000427,000000,47.9200,47.9200,47.9200,47.9200,200,0
AMBV4.SA,D,20000428,000000,47.9200,55.0100,47.9200,47.9200,0,0
